litterbag_id,block,burn_status,plot_name,proportion_ecm_ba,topographic_position,litter_type,initial_litter_mass_g,days_deployed,proportion_litter_remaining
1,1,burned,1B4,0.75,ridge,AM,3.51,91,0.7009
2,1,burned,1B4,0.75,ridge,AM,3.49,187,0.3066
3,1,burned,1B4,0.75,ridge,AM,3.53,91,0.6799
4,1,burned,1B4,0.75,ridge,AM,3.51,187,0.4359
5,1,burned,1B4,0.75,ridge,AM,3.52,91,0.6534
6,1,burned,1B4,0.75,ridge,AM,3.48,187,0.296
7,1,burned,1B4,0.75,ridge,AM,3.46,1015,0.1329
8,1,burned,1B4,0.75,ridge,AM,3.48,1015,0.0718
9,1,burned,1B4,0.75,ridge,AM,3.49,1015,0.0086
10,1,burned,1B4,0.75,ridge,AM,3.52,302,0.2756
11,1,burned,1B4,0.75,ridge,AM,3.5,302,0.3086
12,1,burned,1B4,0.75,ridge,AM,3.48,302,0.3448
13,1,burned,1B1,0.64,south-facing midslope,AM,3.48,187,0.2098
14,1,burned,1B1,0.64,south-facing midslope,AM,3.51,1015,0.0541
15,1,burned,1B1,0.64,south-facing midslope,AM,3.52,1015,0.0455
16,1,burned,1B1,0.64,south-facing midslope,AM,3.53,1015,0.0028
17,1,burned,1B1,0.64,south-facing midslope,AM,3.52,302,0.1563
18,1,burned,1B1,0.64,south-facing midslope,AM,3.54,302,0.178
19,1,burned,1B1,0.64,south-facing midslope,AM,3.5,302,0.0429
20,1,burned,1B1,0.64,south-facing midslope,AM,3.52,187,0.1392
21,1,burned,1B1,0.64,south-facing midslope,AM,3.5,187,0.2486
22,1,burned,1B1,0.64,south-facing midslope,AM,3.5,91,0.6714
23,1,burned,1B1,0.64,south-facing midslope,AM,3.5,91,0.6686
24,1,burned,1B1,0.64,south-facing midslope,AM,3.51,91,0.6724
25,4,unburned,4U6,0.49,low elevation,AM,3.52,269,0.2841
26,4,unburned,4U6,0.49,low elevation,AM,3.47,269,0.2421
27,4,unburned,4U6,0.49,low elevation,AM,3.47,204,0.2392
28,4,unburned,4U6,0.49,low elevation,AM,3.53,1125,0.0397
29,4,unburned,4U6,0.49,low elevation,AM,3.5,269,0.3514
30,4,unburned,4U6,0.49,low elevation,AM,3.51,1125,0.0712
31,4,unburned,4U6,0.49,low elevation,AM,3.53,1125,0.1105
32,4,unburned,4U6,0.49,low elevation,AM,3.51,93,0.5812
33,4,unburned,4U6,0.49,low elevation,AM,3.48,93,0.5948
34,4,unburned,4U6,0.49,low elevation,AM,3.48,93,0.592
35,4,unburned,4U6,0.49,low elevation,AM,3.5,204,0.3029
36,4,unburned,4U6,0.49,low elevation,AM,3.5,204,0.2457
38,4,unburned,4U7,0.75,north-facing midslope,AM,3.49,204,0.2436
39,4,unburned,4U7,0.75,north-facing midslope,AM,3.49,93,0.5415
40,4,unburned,4U7,0.75,north-facing midslope,AM,3.52,93,0.6506
41,4,unburned,4U7,0.75,north-facing midslope,AM,3.52,93,0.6136
42,4,unburned,4U7,0.75,north-facing midslope,AM,3.51,204,0.2479
43,4,unburned,4U7,0.75,north-facing midslope,AM,3.5,204,0.2971
44,4,unburned,4U7,0.75,north-facing midslope,AM,3.49,1125,0.0516
45,4,unburned,4U7,0.75,north-facing midslope,AM,3.5,269,0.2914
46,4,unburned,4U7,0.75,north-facing midslope,AM,3.5,269,0.2914
47,4,unburned,4U7,0.75,north-facing midslope,AM,3.49,269,0.3123
48,4,unburned,4U7,0.75,north-facing midslope,AM,3.53,1125,0.0453
49,4,burned,4B2,0.48,low elevation,AM,3.51,176,0.3618
50,4,burned,4B2,0.48,low elevation,AM,3.5,273,0.24
51,4,burned,4B2,0.48,low elevation,AM,3.49,1122,0.0315
52,4,burned,4B2,0.48,low elevation,AM,3.52,273,0.3125
53,4,burned,4B2,0.48,low elevation,AM,3.48,1122,0.0115
54,4,burned,4B2,0.48,low elevation,AM,3.52,273,0.3153
55,4,burned,4B2,0.48,low elevation,AM,3.5,94,0.7229
56,4,burned,4B4,0.92,ridge,AM,3.52,94,0.6989
57,4,burned,4B4,0.92,ridge,AM,3.5,176,0.0914
58,4,burned,4B4,0.92,ridge,AM,3.48,176,0.4282
59,4,burned,4B4,0.92,ridge,AM,3.51,176,0.2336
60,4,burned,4B3,0.35,north-facing midslope,AM,3.52,94,0.6534
61,4,burned,4B2,0.48,low elevation,AM,3.52,94,0.6222
62,4,burned,4B2,0.48,low elevation,AM,3.49,176,0.4155
63,4,burned,4B2,0.48,low elevation,AM,3.52,176,0.2898
